Chip,Total Width,Trace Height,Area,Trace Width,Permutation Width
AddSub,23,1048576,24117248,18,5
CPU,130,524288,68157440,113,17
ShiftLeft,47,524288,24641536,43,4
Lt,38,524288,19922944,36,2
Mul,47,262144,12320768,38,9
ShiftRight,83,262144,21757952,69,14
Byte,16,65536,1048576,10,6
Program,4,16384,65536,2,2
Bitwise,20,2048,40960,16,4
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Lt,38,524288,19922944,36,2
Byte,16,65536,1048576,10,6
Program,4,16384,65536,2,2
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Byte,16,65536,1048576,10,6
Program,4,16384,65536,2,2
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Byte,16,65536,1048576,10,6
Program,4,16384,65536,2,2
CPU,130,524288,68157440,113,17
Byte,16,65536,1048576,10,6
Program,4,16384,65536,2,2
CPU,130,524288,68157440,113,17
Byte,16,65536,1048576,10,6
Program,4,16384,65536,2,2
CPU,130,262144,34078720,113,17
MemoryInit,10,262144,2621440,8,2
MemoryFinalize,10,262144,2621440,8,2
Byte,16,65536,1048576,10,6
Program,4,16384,65536,2,2
MemoryProgram,10,16384,163840,8,2
