Phase,Process,Chip,CPU Time
Phase 1,Trace Generation,Bitwise,0.007644
Phase 1,Trace Generation,Program,0.089435
Phase 1,Trace Generation,Lt,0.658039
Phase 1,Trace Generation,ShiftLeft,0.967557
Phase 1,Trace Generation,Byte,0.972962
Phase 1,Trace Generation,Mul,1.040081
Phase 1,Trace Generation,AddSub,1.131437
Phase 1,Trace Generation,ShiftRight,1.232046
Phase 1,Trace Generation,CPU,1.379467
Phase 1,LDE Generation,AddSub,0.488819
Phase 1,LDE Generation,CPU,0.898219
Phase 1,LDE Generation,ShiftLeft,0.428391
Phase 1,LDE Generation,Lt,0.338659
Phase 1,LDE Generation,Mul,0.190725
Phase 1,LDE Generation,ShiftRight,0.294505
Phase 1,LDE Generation,Byte,0.031333
Phase 1,LDE Generation,Program,0.012281
Phase 1,LDE Generation,Bitwise,0.006259
Phase 1,Merkle Trees,All,19.535423
Phase 1,Trace Generation,Program,0.093148
Phase 1,Trace Generation,Lt,0.511231
Phase 1,Trace Generation,Byte,0.639871
Phase 1,Trace Generation,AddSub,0.650727
Phase 1,Trace Generation,CPU,0.858434
Phase 1,LDE Generation,CPU,0.929569
Phase 1,LDE Generation,AddSub,0.228062
Phase 1,LDE Generation,Lt,0.324163
Phase 1,LDE Generation,Byte,0.032127
Phase 1,LDE Generation,Program,0.010969
Phase 1,Merkle Trees,All,10.693278
Phase 1,Trace Generation,Program,0.113602
Phase 1,Trace Generation,AddSub,0.538606
Phase 1,Trace Generation,Byte,0.579774
Phase 1,Trace Generation,CPU,0.80693
Phase 1,LDE Generation,CPU,0.86782
Phase 1,LDE Generation,AddSub,0.208549
Phase 1,LDE Generation,Byte,0.026861
Phase 1,LDE Generation,Program,0.012615
Phase 1,Merkle Trees,All,8.596837
Phase 1,Trace Generation,Program,0.197846
Phase 1,Trace Generation,AddSub,0.476996
Phase 1,Trace Generation,Byte,0.53167
Phase 1,Trace Generation,CPU,0.729572
Phase 1,LDE Generation,CPU,0.887222
Phase 1,LDE Generation,AddSub,0.225354
Phase 1,LDE Generation,Byte,0.029791
Phase 1,LDE Generation,Program,0.013899
Phase 1,Merkle Trees,All,8.755252
Phase 1,Trace Generation,Program,0.092357
Phase 1,Trace Generation,Byte,0.415393
Phase 1,Trace Generation,CPU,0.629688
Phase 1,LDE Generation,CPU,0.88142
Phase 1,LDE Generation,Byte,0.032952
Phase 1,LDE Generation,Program,0.012661
Phase 1,Merkle Trees,All,7.828515
Phase 1,Trace Generation,Program,0.186188
Phase 1,Trace Generation,Byte,0.392284
Phase 1,Trace Generation,CPU,0.602369
Phase 1,LDE Generation,CPU,0.896608
Phase 1,LDE Generation,Byte,0.031776
Phase 1,LDE Generation,Program,0.013065
Phase 1,Merkle Trees,All,7.830198
Phase 1,Trace Generation,MemoryProgram,0.007591
Phase 1,Trace Generation,Program,0.039775
Phase 1,Trace Generation,MemoryInit,0.10002
Phase 1,Trace Generation,MemoryFinalize,0.115958
Phase 1,Trace Generation,Byte,0.236854
Phase 1,Trace Generation,CPU,0.258497
Phase 1,LDE Generation,CPU,0.459064
Phase 1,LDE Generation,MemoryInit,0.07529
Phase 1,LDE Generation,MemoryFinalize,0.07654
Phase 1,LDE Generation,Byte,0.031792
Phase 1,LDE Generation,Program,0.013434
Phase 1,LDE Generation,MemoryProgram,0.012513
Phase 1,Merkle Trees,All,4.456959
Phase 2,Trace Generation,Bitwise,0.007451
Phase 2,Trace Generation,Program,0.18523
Phase 2,Trace Generation,Lt,0.562267
Phase 2,Trace Generation,Mul,0.931099
Phase 2,Trace Generation,ShiftLeft,0.932849
Phase 2,Trace Generation,Byte,0.513394
Phase 2,Trace Generation,AddSub,1.060757
Phase 2,Trace Generation,ShiftRight,1.115229
Phase 2,Trace Generation,CPU,1.380076
Phase 2,LDE Generation,AddSub,0.494005
Phase 2,LDE Generation,CPU,0.892599
Phase 2,LDE Generation,ShiftLeft,0.422403
Phase 2,LDE Generation,Lt,0.332636
Phase 2,LDE Generation,Mul,0.190715
Phase 2,LDE Generation,ShiftRight,0.296835
Phase 2,LDE Generation,Byte,0.032824
Phase 2,LDE Generation,Program,0.009079
Phase 2,LDE Generation,Bitwise,0.001884
Phase 2,Merkle Trees,All,19.42334
Phase 2,Permutation Trace Generation,AddSub,4.113047
Phase 2,Permutation Trace Generation,CPU,8.909745000000001
Phase 2,Permutation Trace Generation,ShiftLeft,1.367844
Phase 2,Permutation Trace Generation,Lt,0.360683
Phase 2,Permutation Trace Generation,Mul,1.771915
Phase 2,Permutation Trace Generation,ShiftRight,3.043835
Phase 2,Permutation Trace Generation,Byte,0.285058
Phase 2,Permutation Trace Generation,Program,0.023612
Phase 2,Permutation Trace Generation,Bitwise,0.005189
Phase 2,Quotient,AddSub,2.860254
Phase 2,Quotient,CPU,5.925977
Phase 2,Quotient,ShiftLeft,1.6378979999999999
Phase 2,Quotient,Lt,1.070137
Phase 2,Quotient,Mul,1.056602
Phase 2,Quotient,ShiftRight,1.650568
Phase 2,Quotient,Byte,0.146115
Phase 2,Quotient,Program,0.029015
Phase 2,Quotient,Bitwise,0.00514
Phase 2,Trace Generation,Program,0.088949
Phase 2,Trace Generation,Lt,0.487434
Phase 2,Trace Generation,AddSub,0.573657
