Chip,Total Width,Trace Height,Area,Trace Width,Permutation Width
AddSub,23,1048576,24117248,18,5
CPU,130,524288,68157440,113,17
Bitwise,20,524288,10485760,16,4
ShiftRight,83,524288,43515904,69,14
ShiftLeft,47,524288,24641536,43,4
Lt,38,524288,19922944,36,2
ShaCompress,318,131072,41680896,259,59
ShaExtend,213,65536,13959168,176,37
Byte,16,65536,1048576,10,6
Program,4,32768,131072,2,2
Mul,47,8192,385024,38,9
DivRem,103,8,824,94,9
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Bitwise,20,262144,5242880,16,4
Byte,16,65536,1048576,10,6
Program,4,32768,131072,2,2
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Byte,16,65536,1048576,10,6
Program,4,32768,131072,2,2
CPU,130,524288,68157440,113,17
Byte,16,65536,1048576,10,6
Program,4,32768,131072,2,2
CPU,130,524288,68157440,113,17
Byte,16,65536,1048576,10,6
Program,4,32768,131072,2,2
CPU,130,262144,34078720,113,17
Byte,16,65536,1048576,10,6
Program,4,32768,131072,2,2
MemoryProgram,10,32768,327680,8,2
MemoryInit,10,16384,163840,8,2
MemoryFinalize,10,16384,163840,8,2
