Chip,Total Width,Trace Height,Area,Trace Width,Permutation Width
AddSub,23,1048576,24117248,18,5
CPU,130,524288,68157440,113,17
Bitwise,20,524288,10485760,16,4
ShiftRight,83,524288,43515904,69,14
ShiftLeft,47,524288,24641536,43,4
Lt,38,524288,19922944,36,2
Program,4,262144,1048576,2,2
Mul,47,262144,12320768,38,9
Byte,16,65536,1048576,10,6
EdAddAssign,2279,32768,74678272,2213,66
DivRem,103,512,52736,94,9
EdDecompress,1531,64,97984,1497,34
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Bitwise,20,524288,10485760,16,4
ShiftRight,83,524288,43515904,69,14
Lt,38,524288,19922944,36,2
Program,4,262144,1048576,2,2
ShiftLeft,47,262144,12320768,43,4
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Bitwise,20,524288,10485760,16,4
Lt,38,524288,19922944,36,2
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Bitwise,20,524288,10485760,16,4
Program,4,262144,1048576,2,2
Lt,38,262144,9961472,36,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Program,4,262144,1048576,2,2
Bitwise,20,131072,2621440,16,4
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
AddSub,23,524288,12058624,18,5
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
Program,4,262144,1048576,2,2
Byte,16,65536,1048576,10,6
CPU,130,524288,68157440,113,17
Program,4,262144,1048576,2,2
MemoryProgram,10,262144,2621440,8,2
MemoryInit,10,131072,1310720,8,2
MemoryFinalize,10,131072,1310720,8,2
Byte,16,65536,1048576,10,6
