Phase,Process,Chip,CPU Time
Phase 1,Trace Generation,DivRem,0.006124
Phase 1,Trace Generation,Program,0.176987
Phase 1,Trace Generation,EdDecompress,0.459147
Phase 1,Trace Generation,Lt,0.757631
Phase 1,Trace Generation,Bitwise,1.664895
Phase 1,Trace Generation,Byte,1.3907880000000001
Phase 1,Trace Generation,ShiftLeft,3.428492
Phase 1,Trace Generation,AddSub,3.588341
Phase 1,Trace Generation,Mul,4.926187
Phase 1,Trace Generation,ShiftRight,8.059906
Phase 1,Trace Generation,EdAddAssign,16.490894
Phase 1,Trace Generation,CPU,16.568599
Phase 1,LDE Generation,AddSub,0.497441
Phase 1,LDE Generation,CPU,0.888328
Phase 1,LDE Generation,Bitwise,0.203319
Phase 1,LDE Generation,Mul,0.376689
Phase 1,LDE Generation,ShiftRight,0.585438
Phase 1,LDE Generation,ShiftLeft,0.423479
Phase 1,LDE Generation,Lt,0.330553
Phase 1,LDE Generation,Program,0.083753
Phase 1,LDE Generation,Byte,0.030714
Phase 1,LDE Generation,EdAddAssign,0.933432
Phase 1,LDE Generation,DivRem,0.005616
Phase 1,LDE Generation,EdDecompress,0.006241
Phase 1,Merkle Trees,All,32.13801
Phase 1,Trace Generation,Program,0.193625
Phase 1,Trace Generation,Lt,0.666547
Phase 1,Trace Generation,AddSub,0.773914
Phase 1,Trace Generation,Byte,0.79375
Phase 1,Trace Generation,ShiftLeft,0.956833
Phase 1,Trace Generation,Bitwise,0.722282
Phase 1,Trace Generation,CPU,1.680255
Phase 1,Trace Generation,ShiftRight,1.796627
Phase 1,LDE Generation,CPU,0.892939
Phase 1,LDE Generation,AddSub,0.272565
Phase 1,LDE Generation,Bitwise,0.201343
Phase 1,LDE Generation,ShiftRight,0.581992
Phase 1,LDE Generation,ShiftLeft,0.425071
Phase 1,LDE Generation,Lt,0.324846
Phase 1,LDE Generation,Program,0.084629
Phase 1,LDE Generation,Byte,0.027583
Phase 1,Merkle Trees,All,18.695801
Phase 1,Trace Generation,Program,0.140615
Phase 1,Trace Generation,ShiftRight,0.517921
